SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM:  NUMBER OF PERSONS PARTICIPATING,"Resident population per state as of July 1, 2008","NUMBER OF PEOPLE, Jan 2008",Jan 2008 as % total pop,Dec 2008 (Preliminary),December 2008 as % total pop,Jan 2009 (initial),Jan 2009 as % total pop,% Change Dec 08 – Jan 09,% change Jan 08 – Jan 09
.Alabama,4661900,564325,12.10504301,641449,13.75938995,647628,13.89193247,1,14.8
.Alaska,686293,56031,8.164297173,57411,8.36537747,61202,8.917765444,6.6,9.2
.Arizona,6500180,602007,9.261389685,742936,11.42946811,756960,11.64521598,1.9,25.7
.Arkansas,2855390,379031,13.27422874,400571,14.02859154,399243,13.98208301,-0.3,5.3
.California,36756666,2160179,5.876972084,2502279,6.807687618,2545129,6.924265112,1.7,17.8
.Colorado,4939456,249213,5.045353172,291904,5.909638632,297628,6.025521839,2,19.4
.Connecticut,3501252,223127,6.372777509,243914,6.966479419,245873,7.022430833,0.8,10.2
.Delaware,873092,74322,8.512504982,85026,9.738492622,87573,10.03021446,3,17.8
.District of Columbia,591833,89336,15.0947987,100743,17.02220052,101284,17.11361144,0.5,13.4
.Florida,18328340,1395527,7.614039242,1781760,9.721338648,1802316,9.833492831,1.2,29.1
.Georgia,9685744,986245,10.18243926,1197174,12.36016562,1212668,12.52013268,1.3,23
.Hawaii,1288198,94338,7.323253102,108972,8.459258592,109708,8.516392666,0.7,16.3
.Idaho,1523816,97378,6.390404091,123135,8.080700032,128809,8.4530547,4.6,32.3
.Illinois,12901563,1288460,9.986851981,1371282,10.62880521,1420865,11.01312298,3.6,10.3
.Indiana,6376792,608080,9.535829301,670192,10.50986138,675871,10.5989187,0.8,11.1
.Iowa,3002555,249108,8.296534118,281801,9.385373457,285318,9.502507032,1.2,14.5
.Kansas,2802134,184180,6.572847694,201172,7.179242677,207217,7.394971118,3,12.5
.Kentucky,4269245,629513,14.7453004,680959,15.95033782,682794,15.99331966,0.3,8.5
.Louisiana,4410796,660714,14.97947309,702768,15.93290644,702803,15.93369995,0,6.4
.Maine,1316456,170819,12.97567104,189441,14.39022649,194181,14.7502841,2.5,13.7
.Maryland,5633597,349195,6.198437694,422373,7.497394649,427599,7.590159538,1.2,22.5
.Massachusetts,6497967,491696,7.566920546,582645,8.966573699,597295,9.19202883,2.5,21.5
.Michigan,10003422,1242897,12.42471826,1347326,13.46865103,1368124,13.67655988,1.5,10.1
.Minnesota,5220393,293306,5.618465889,314491,6.024278249,323238,6.191832684,2.8,10.2
.Mississippi,2938618,441922,15.03842963,486892,16.56874082,487245,16.58075327,0.1,10.3
.Missouri,5911605,875752,14.81411563,981304,16.59962058,995874,16.84608495,1.5,13.7
.Montana,967440,80015,8.270797155,84863,8.771913504,86871,8.979471595,2.4,8.6
.Nebraska,1783432,120892,6.778615613,125167,7.018321977,127733,7.162201867,2.1,5.7
.Nevada,2600167,138430,5.323888812,174172,6.698492828,178712,6.873096997,2.6,29.1
.New Hampshire,1315809,62522,4.751601486,71567,5.439011285,73628,5.595644961,2.9,17.8
.New Jersey,8682661,429580,4.947561583,481841,5.549462313,485488,5.591465566,0.8,13
.New Mexico,1984356,234331,11.80891937,268400,13.5257988,278035,14.01134675,3.6,18.7
.New York,19490297,1932022,9.912737605,2174325,11.15593569,2211935,11.34890351,1.7,14.5
.North Carolina,9222414,927926,10.06163896,1072607,11.63043646,1089699,11.81576754,1.6,17.4
.North Dakota,641481,48130,7.502950204,50316,7.843724132,51074,7.961888193,1.5,6.1
.Ohio,11485910,1139495,9.92080732,1264803,11.01177878,1287349,11.20807145,1.8,13
.Oklahoma,3642361,417504,11.46245526,444573,12.20562706,444922,12.21520876,0.1,6.6
.Oregon,3790060,457384,12.06798837,525199,13.85727403,543813,14.34840082,3.5,18.9
.Pennsylvania,12448279,1173679,9.428443884,1277018,10.25859077,1299743,10.44114612,1.8,10.7
.Rhode Island,1050788,80821,7.691465833,92395,8.792924929,93552,8.903032772,1.3,15.8
.South Carolina,4479800,578682,12.91758561,657670,14.68078932,663865,14.81907674,0.9,14.7
.South Dakota,804194,61083,7.595555301,66714,8.295759481,70661,8.786561452,5.9,15.7
.Tennessee,6214888,901753,14.50956156,1019843,16.40967625,1034145,16.63980107,1.4,14.7
.Texas,24326974,2451315,10.07653069,3049222,12.53432507,2984354,12.26767456,-2.1,21.7
.Utah,2736424,130765,4.778681959,165605,6.051876464,169708,6.201816678,2.5,29.8
.Vermont,621270,55150,8.876977804,62954,10.13311443,67863,10.92327008,7.8,23.1
.Virginia,7769089,536959,6.911479583,608122,7.827455703,616644,7.937146813,1.4,14.8
.Washington,6549224,603412,9.213488499,683239,10.43236573,714020,10.90236034,4.5,18.3
.West Virginia,1814468,275798,15.19993739,295025,16.25958683,291561,16.06867688,-1.2,5.7
.Wisconsin,5627967,403688,7.172892094,490646,8.717997103,505808,8.987401667,3.1,25.3
.Wyoming,532668,22759,4.272642622,24007,4.506934901,24647,4.627084788,2.7,8.3
Total,304059724,27720796,9.116891785,31740213,10.43880873,32160275,10.57695987,,
